PPN	Signatur	Notizen	Auflagen
01611339X	WD 4000 B817		
1650816464	WC 4150 W749 (3)		3., neubearb. u. erw. Aufl.
160321397X	VK 5010 B573 (22)		22., überarb. und aktualisierte Aufl.
1601050747	VK 5010 K21 (9)		9. Aufl. - 101. - 110. Tsd
1120113644	WB 1410 L697 -1		
1096694476	WB 1410 L697 -2		
1095427598	 		1. Aufl.
1094339083	 		
241567610	WD 4010 H139		[6. Dr.]
171213882	WB 1410 L679	GA	
119370948	VB 4150 G593 (2)		2. Aufl.
027430782	VG 8901 H587 (4)		4., überarb. Aufl.
027426165	 		1. Aufl.
026354020	 		Orig.-Ausg.
025041169	VK 6001 H374		
019577621	VC 5200 N995 (18)		18., vollst. überarb. Aufl.
019486421	 		1. Aufl., unveränderter Nachdruck
1106817893	VB 4092 K63 -2(2)		2., verb. Aufl.
1093719745	VB 4072 E38 C5 Z -2		1. Aufl.
1092656448	 		
108965670X	VK 5010 C554 -2		1. Aufl.
067767125	VH 5000 G816 +...		1. korrigierter Nachdr. d. 1. Aufl.
026349108	 		1. Aufl.
025870734	VH 5100 J33 (13)		13., neu bearb. Aufl.
025369377	 		
024717169	VH 5010 R549 (2)		2., verb. Aufl.
019436149	 		2., erg. Aufl.
016013638	VE 6350 K75		
010604626	VN 9800 R111 (27)		27., verb. Aufl.
1650772556	VB 4130 A844		
1089934033	 		
108847568X	VK 5010 V923 A		1. Aufl.
274874148	VN 9286 K76		
274596881	VG 6100 F919		
042907853	 		
024998931	VG 6600 J33 (15)		15. Aufl.
1624013031	VH 5000 G816		1. Aufl.
1094358886	 		2., durchges. Aufl.
1088475523	VK 5010 V923		1. Aufl.
1086789253	VK 5010 C554 -1		1. Aufl.
1086634942	VC 5010 B881		
1085793761	VT 5300 H694 -Z(2)		2., völlig neu bearb. Aufl.
275045358	VC 5000 D549 (2)		2., bearb. und erw. Aufl.
274902095	VB 1025 R447		
274476312	VC 5100 K94		
026709988	 		
024708135	VN 9360 H888 (3)		3., neu bearb. und erw. Aufl
024697311	VE 5300 A874		
024693642	VK 6000 S983 (9)		9., überarb. Aufl.
1094359742	 		2., durchges. Aufl.
1085793745	VT 5300 H694 (2)		2., völlig neu bearb. Aufl.
1084219271	 		
027476359	WD 4010 L523		
1632888920	VC 5010 D549 (N)		1. Aufl., 2. bericht. Nachdr.
1094357480	 		2., durchges. Aufl.
1082442151	VK 5010 M881 (3)		3., völlig neu bearb. Aufl.
27351301X	WD 4010 K77		
025287621	VG 6600 J33 (14)		14. völlig neubearb. Aufl.
025279939	VH 5100 B599 (73)		73., durchges. Aufl.
024794341	 		7., völlig neu bearb. Aufl.
1616674857	VH 5100 F646 (6)		6., bearb. u. erg. Aufl.
273549863	VK 5020 F911		1. Aufl.
025121669	 		
015699668	WD 4010 L523 G8 (2)		2., verb. Aufl.
160626690X	VB 2100 B586		
1097822109	VK 5000 R595 -Z		
1081634456	 		4., neubearb. u. erw. Aufl.
024676888	VE 5000 B278 (5)		Gesamtausg., 5., neubearb. Aufl.
1651953724	VG 7400 W864		
1632789221	VB 3100 H468 (5)		5., erg. u. bearb. Aufl.
1091885575	VC 5000 K43 -2(2)		2., bearb. Aufl.
1084010151	VB 4045 G611 -2		
1084010100	VB 4045 G611 -1		
1081634448	 		4., neubearb. u. erw. Aufl.
108163443X	 		4., neubearb. u. erw. Aufl.
1077465041	 		
024371432	VK 5030 F884 (2)		2., völlig neu bearb. u. um 3 Kap. erw. Aufl
1610681843	VG 1000 R248 (6)		6., überarb. Aufl.
1081634421	 		4., neubearb. u. erw. Aufl.
1081634413	 		4., neubearb. u. erw. Aufl.
027383504	VK 5100 G262 (43)		43. Aufl.
024748161	VH 5100 B599 (72)		72., neubearb. Aufl.
1612414486	WC 4150 C778		
1612185061	VC 5010 D549		
161090480X	 		
1097811808	VK 5000 R595		
1093506903	VB 2330 S359 (2)		2., unveränd. Aufl.
1091885303	VC 5000 K43 -1(2)		2., bearb. Aufl.
1081634405	 		4., neubearb. u. erw. Aufl.
108163426X	 		4., neubearb. u. erw. Aufl.
024939145	 		
024396680	WB 1410 J25 (2)		2., verb. Aufl.
1619914433	WD 4010 K18 (11)		11., völlig neu bearb. u. erw. Aufl.
161966531X	WD 4010 B927 (6)		6., neubearb. Aufl.
1612988946	VB 4150 W855		
1101172061	VK 5010 G734 -1		1. Aufl.
1081634391	 		4., neubearb. u. erw. Aufl.
1081634251	 		4., neubearb. u. erw. Aufl.
1081412801	VK 5010 A437 -Z		
1081412798	VK 5010 A437		
170484084	 		
039509419	VC 5010 C188 (2)		2., durchges. Aufl.
027276643	VC 5100 U76		
023738596	VK 5700 L921		
160859937X	 		
1081634383	 		4., neubearb. u. erw. Aufl.
1081634375	 		4., neubearb. u. erw. Aufl.
1081634367	 		4., neubearb. u. erw. Aufl.
1081634359	 		4., neubearb. u. erw. Aufl.
1619974274	VK 5000 L524 -5		1. Aufl.
1081634340	 		4., neubearb. u. erw. Aufl.
1081634332	 		4., neubearb. u. erw. Aufl.
1076536867	VK 5000 L524 -4		
1607452332	VK 5000 L524 -3		
1081634324	 		4., neubearb. u. erw. Aufl.
1081634316	 		4., neubearb. u. erw. Aufl.
166982687	 		
039728498	VK 5000 L524 -1		
039017826	VE 5301 N764		
1619974436	VK 5000 L524 -2		
1081634308	 		4., neubearb. u. erw. Aufl.
1081634294	 		4., neubearb. u. erw. Aufl.
1081634286	 		4., neubearb. u. erw. Aufl.
1081634278	 		4., neubearb. u. erw. Aufl.
1081634243	 		4., neubearb. u. erw. Aufl.
1602309701	VE 5301 S571		
1081634235	 		4., neubearb. u. erw. Aufl.
1081634227	 		4., neubearb. u. erw. Aufl.
1081634219	 		4., neubearb. u. erw. Aufl.
053247213	VC 5000 B749 (2)		2. Aufl., 11. - 15. Tsd.
025147846	VG 9200 V919		
1183942486	 	gelöscht	
168660245	VB 4600 E11	an Anni melden ?	
1183802625	 	gelöscht	
1182389902	 	gelöscht	
1174525592	VB 4063 K83	GA	
1165222418	 		
1163343404	 		
1159352488	 		
1158907060	VB 4073 D987	GA	
1153985888	VC 5000 M689		
1150534850	VB 2300 S927	GA	
1148910441	 		
1148868313	 		
1145252567	WB 1410 F194	GA	
1141871416	 		
1134826230	 		
1125595914	AR 25100 R845		
1125482303	VB 4072 E38	GA	Ausg. Baden-Württemberg
1125147369	 	gelöscht	
1125031891	VC 1000 R715 C5	GA	
1123604983	 	gelöscht	
1123312311	 		
111973228X	VB 4073 R288	GA	Baden-Württemberg
1119715881	 		
1119295203	VB 4073 H595 A8 (N)	GA	Gymnasium ; Baden-Württemberg ; Neubearb.
1118903226	VC 1000 R715	GA	Paperback-Ausg.
1117280551	VK 5010 F793	GA	
1115968068	VB 4073 G997	GA	Länderausgabe Baden-Württemberg
1115015036	VB 4072 V566 (N)	GA	Neubearb.
1114926752	 		
1112542663	VB 4073 C517	GA	Hauptschule Baden-Württemberg
111249216X	VB 4073 F944	GA	[Ausg. Baden-Württemberg]
111177207X	 		[Neubearb.]
1110802641	VC 5010 A749	GA	
1109921810	 		
1107430984	VH 5010 C554	GA	
1106050851	 		
1105337065	 	gelöscht	
1103904884	VB 4073 H595	GA	Sekundarbereich I
1102175099	 	gelöscht	
110129261X	 		
1101218762	 		
1101172002	VK 5010 G734		
1099745470	 		
1098783379	 		
1098226453	 	GA<<mybrNEWLINE>>Einzelsignaturen	Ausg. für Baden-Württemberg
1097099881	VK 5000 R595	GA	
1095427431	 		
1094901180	 	gelöscht	
1094339040	 		
1092667261	VC 5010 B881	GA	
1092656367	 		
109206883X	VB 4072 E38 C5	GA	[Überregionale Ausgabe]
1091885044	VC 5000 K43	GA	
1088933483	VB 4092 K63	GA	
1088004121	 	gelöscht	Kompaktausgabe
1086816676	 	gelöscht	
1086789172	VK 5010 C554	GA	
1086635027	VK 5010 V923	GA<<mybrNEWLINE>>Bände unter Che E 10: 51	
1086560930	VE 5000 A874	GA	
1084219174	 		
1084010046	VB 4045 G611	GA	
1083347578	VH 5100 K81	GA	
1083017381	 		
1082805254	VT 5300 H694	GA	
1082488968	 	gelöscht	
1082468487	VB 4150 H768	GA	
108186656X	 	gelöscht	
1081719117	 		
1081477474	 		Durchges. Neudr.
108147226X	 		
1081472111	 	gelöscht	
1081471387	 		
108141278X	VK 5010 A437	GA	
1081403691	 	gelöscht	
1078952159	VB 4150 R845		
107887090X	 	gelöscht	1. - 3. Aufl.
1078722234	VC 1000 B846	GA<<mybrNEWLINE>>dies ist die falsche GA	
1077662467	 	gelöscht	
1077551878	 	gelöscht	
1076105734	 	gelöscht	
1075538041	 	gelöscht	
1075209420	 		
1075197880	 	gelöscht	
1075013232	 	gelöscht	
1074120515	 	gelöscht	
1074001877	 		
1073809986	VC 1000 A617	GA	
